Source,Target,Weight
Insufficient Sleep Syndrome,Behavioral symptoms during wake (icsd),3
Irregular Sleep Wake Rhythm Disorder,Absent of major sleep period,4
Irregular Sleep Wake Rhythm Disorder,Daytime sleepiness,3
Irregular Sleep Wake Rhythm Disorder,Insomnia early,3
Irregular Sleep Wake Rhythm Disorder,Insomnia initiating,3
Irregular Sleep Wake Rhythm Disorder,Insomnia maintaining,3
Jet Lag Disorder,Daytime sleepiness,1
Jet Lag Disorder,Insomnia early,3
Jet Lag Disorder,Insomnia initiating,3
Jet Lag Disorder,Insomnia maintaining,3
Jet Lag Disorder,Short sleep time,3
Jet Lag Disorder,Malaise (icsd),1
Jet Lag Disorder,Somatic symptoms (icsd),1
Kleine Levin Syndrome,Daytime sleepiness,5
Kleine Levin Syndrome,Eating symptoms,4
Kleine Levin Syndrome,Altered perception (icsd),4
Kleine Levin Syndrome,Behavioral symptoms during wake (icsd),4
Kleine Levin Syndrome,Cognitive symptoms (icsd),4
Narcolepsy Type 1,Cataplexy,5
Narcolepsy Type 1,Daytime sleepiness,5
Narcolepsy Type 1,Lapses into sleep,5
Narcolepsy Type 2,Daytime sleepiness,5
Narcolepsy Type 2,Lapses into sleep,5
Nightmare Disorder,Affective symptoms,3
Nightmare Disorder,Altered oniric activity,5
Nightmare Disorder,Daytime sleepiness,1
Nightmare Disorder,Fatigue,1
Nightmare Disorder,Insomnia maintaining,1
Nightmare Disorder,Normal responsiveness,1
Nightmare Disorder,Sleep resistance,1
Nightmare Disorder,Behavioral symptoms during wake (icsd),1
Nightmare Disorder,Cognitive symptoms (icsd),1
Non-24 Hour Sleep Wake Rhythm Disorder,Circadian period >24h,4
Non-24 Hour Sleep Wake Rhythm Disorder,Daytime sleepiness,3
Non-24 Hour Sleep Wake Rhythm Disorder,Insomnia early,3
Non-24 Hour Sleep Wake Rhythm Disorder,Insomnia initiating,3
Non-24 Hour Sleep Wake Rhythm Disorder,Insomnia maintaining,3
Obstructive Sleep Apnea Adult,Breath abnormalities complaint,4
Obstructive Sleep Apnea Adult,Breath abnormalities observation,4
Obstructive Sleep Apnea Adult,Daytime sleepiness,4
Obstructive Sleep Apnea Adult,Fatigue,4
Obstructive Sleep Apnea Adult,Insomnia early,1
Obstructive Sleep Apnea Adult,Insomnia initiating,1
Obstructive Sleep Apnea Adult,Insomnia maintaining,1
Obstructive Sleep Apnea Adult,Non restorative sleep,3
Obstructive Sleep Apnea Adult,Snoring,5
Obstructive Sleep Apnea Pediatric,Breath abnormalities observation,4
Obstructive Sleep Apnea Pediatric,Daytime sleepiness,3
Obstructive Sleep Apnea Pediatric,Snoring,4
Obstructive Sleep Apnea Pediatric,Behavioral symptoms during wake (icsd),2
Primary Central Sleep Apnea,Breath abnormalities complaint,5
Primary Central Sleep Apnea,Breath abnormalities observation,5
Primary Central Sleep Apnea,Daytime sleepiness,3
Primary Central Sleep Apnea,Insomnia initiating,1
Primary Central Sleep Apnea,Insomnia maintaining,1
Primary Central Sleep Apnea,Non restorative sleep,3
Primary Central Sleep Apnea,Snoring,1
Primary Central Sleep Apnea Of Infancy,Breath abnormalities observation,5
Primary Central Sleep Apnea Of Infancy,Cyanosis_icsd,4
Primary Central Sleep Apnea Of Prematurity,Breath abnormalities observation,5
Primary Central Sleep Apnea Of Prematurity,Cyanosis (icsd),4
Propriospinal Myoclonus At Sleep Onset,Myoclonic jerk (icsd),5
REM Sleep Behavior Disorder,Altered oniric activity,1
REM Sleep Behavior Disorder,Behavioral symptoms during sleep,5
REM Sleep Behavior Disorder,Vocalisation,4
Recurrent Isolated Sleep Paralysis,Motor paralysis (icsd),5
Restless Legs Syndrome,Insomnia initiating,3
Restless Legs Syndrome,Insomnia maintaining,3
Restless Legs Syndrome,Leg sensory discomfort,4
Restless Legs Syndrome,Legs movement,5
Shift Work Disorder,Daytime sleepiness,3
Shift Work Disorder,Disturbed sleep period,3
Shift Work Disorder,Insomnia early,3
Shift Work Disorder,Insomnia initiating,3
Shift Work Disorder,Insomnia maintaining,3
Shift Work Disorder,Short sleep time,3
Sleep Related Bruxism,Tooth grinding (icsd),5
Sleep Related Eating Disorder,Amnesia,3
Sleep Related Eating Disorder,Eating symptoms,5
Sleep Related Eating Disorder,Incomplete_awakening,4
Sleep Related Hallucinations,Hallucination (icsd),5
Sleep Related Leg Cramps,Leg sensory discomfort,1
Sleep Related Rhythmic Movement Disorder,Insomnia early,1
Sleep Related Rhythmic Movement Disorder,Insomnia initiating,1
Sleep Related Rhythmic Movement Disorder,Insomnia maintaining,1
Sleep Related Rhythmic Movement Disorder,Rhythmic movement (icsd),5
Sleep Terrors,Abnormal responsiveness,5
Sleep Terrors,Altered oniric activity,1
Sleep Terrors,Amnesia,3
Sleep Terrors,Autonomic symptoms,3
Sleep Terrors,Behavioral symptoms during sleep,1
Sleep Terrors,Fright behavior,4
Sleep Terrors,Incomplete_awakening,4
Sleep Terrors,Vocalisation,1
Sleepwalking,Abnormal responsiveness,4
Sleepwalking,Altered oniric activity,1
Sleepwalking,Ambulation,5
Sleepwalking,Amnesia,3
Sleepwalking,Behavioral symptoms during sleep,1
Sleepwalking,Incomplete awakening,4
Sleep Enuresis,Unvolontary voiding,5
